No,Kode/Nama Perusahaan,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
308,HOKI,Buyung Poetra Sembada Tbk.,22 Jun 2017,9.677.752.680,Utama
309,HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,22.212.194.782,PENGEMBANGAN
310,HOMI,Grand House Mulia Tbk.,10 Sep 2020,787.500.000,Pengembangan
311,HOPE,Harapan Duta Pertiwi Tbk.,24 Mei 2021,2.129.167.100,PENGEMBANGAN
312,HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,3.550.001.452,Utama
313,HRME,Menteng Heritage Realty Tbk.,12 Apr 2019,5.958.750.000,Pengembangan
314,HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,4.605.262.400,Utama
315,HRUM,Harum Energy Tbk.,06 Okt 2010,2.703.620.000,Utama
316,IATA,MNC Energy Investments Tbk.,13 Sep 2006,11.415.812.114,Pengembangan
317,IBFN,Intan Baruprana Finance Tbk.,22 Des 2014,1.517.332.349,Pengembangan
318,IBST,Inti Bangun Sejahtera Tbk.,31 Ags 2012,1.350.904.927,Utama
319,ICBP,Indofood CBP Sukses Makmur Tbk,07 Okt 2010,11.661.908.000,Utama
320,ICON,Island Concepts Indonesia Tbk.,08 Jul 2005,1.089.750.000,Pengembangan
321,IDEA,Idea Indonesia Akademi Tbk.,09 Sep 2021,1.062.437.500,Akselerasi
322,IDPR,Indonesia Pondasi Raya Tbk.,10 Des 2015,2.003.000.000,Utama
323,IFII,Indonesia Fibreboard Industry,10 Des 2019,9.412.000.000,Utama
324,IFSH,Ifishdeco Tbk.,05 Des 2019,2.125.000.000,Pengembangan
325,IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,972.204.500,Utama
326,IIKP,Inti Agri Resources Tbk,14 Okt 2002,33.600.000.000,Pengembangan
327,IKAI,Intikeramik Alamasri Industri,04 Jun 1997,13.305.799.387,Utama
328,IKAN,Era Mandiri Cemerlang Tbk.,12 Feb 2020,833.333.000,Pengembangan
329,IKBI,Sumi Indo Kabel Tbk.,21 Jan 1991,1.224.000.000,PENGEMBANGAN
330,IMAS,Indomobil Sukses Internasional,15 Nov 1993,3.994.291.039,Utama
331,IMJS,Indomobil Multi Jasa Tbk.,10 Des 2013,8.654.325.000,Utama
332,IMPC,Impack Pratama Industri Tbk.,17 Des 2014,4.833.500.000,Pengembangan
333,INAF,Indofarma Tbk.,17 Apr 2001,3.099.267.500,Utama
334,INAI,Indal Aluminium Industry Tbk.,05 Des 1994,633.600.000,PENGEMBANGAN
335,INCF,Indo Komoditi Korpora Tbk.,06 Sep 2016,1.438.370.465,Pengembangan
336,INCI,Intanwijaya Internasional Tbk,24 Jul 1990,196.121.237,Utama
337,INCO,Vale Indonesia Tbk.,16 Mei 1990,9.936.338.720,Utama
338,INDF,Indofood Sukses Makmur Tbk.,14 Jul 1994,8.780.426.500,Utama
339,INDO,Royalindo Investa Wijaya Tbk.,13 Jan 2020,4.316.520.405,Pengembangan
340,INDR,Indo-Rama Synthetics Tbk.,03 Ags 1990,654.351.707,Utama
341,INDS,Indospring Tbk.,10 Ags 1990,656.249.710,Utama
342,INDX,Tanah Laut Tbk,17 Mei 2001,437.913.588,Pengembangan
343,INDY,Indika Energy Tbk.,11 Jun 2008,5.210.192.000,Utama
344,INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,5.470.982.941,Utama
345,INOV,Inocycle Technology Group Tbk.,10 Jul 2019,1.808.221.900,Pengembangan
346,INPC,Bank Artha Graha Internasional,23 Ags 1990,20.021.178.779,Utama
347,INPP,Indonesian Paradise Property T,12 Jan 2004,11.181.971.732,Pengembangan
348,INPS,Indah Prakasa Sentosa Tbk.,06 Apr 2018,650.000.000,Pengembangan
349,INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,1.388.883.283,Pengembangan
350,INTA,Intraco Penta Tbk.,23 Ags 1993,3.343.935.022,Pengembangan
351,INTD,Inter Delta Tbk,18 Des 1989,591.828.000,Pengembangan
352,INTP,Indocement Tunggal Prakarsa Tb,05 Des 1989,3.681.231.699,Utama
353,IPAC,Era Graharealty Tbk.,30 Jun 2021,949.868.500,Akselerasi
354,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,1.818.384.820,Utama
355,IPCM,Jasa Armada Indonesia Tbk.,22 Des 2017,5.284.811.100,Utama
356,IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010,6.443.379.509,Utama
357,IPPE,Indo Pureco Pratama Tbk.,09 Des 2021,4.600.000.000,Pengembangan
358,IPTV,MNC Vision Networks Tbk.,08 Jul 2019,42.197.950.841,Utama
359,IRRA,Itama Ranoraya Tbk.,15 Okt 2019,1.600.000.000,Pengembangan
360,ISAT,Indosat Tbk.,19 Okt 1994,8.062.702.740,Utama
361,ISSP,Steel Pipe Industry of Indones,22 Feb 2013,7.185.992.035,Utama
362,ITIC,Indonesian Tobacco Tbk.,04 Jul 2019,940.720.000,Pengembangan
363,ITMA,Sumber Energi Andalan Tbk.,10 Des 1990,870.701.000,Pengembangan
364,ITMG,Indo Tambangraya Megah Tbk.,18 Des 2007,1.129.925.000,Utama
365,JAST,Jasnita Telekomindo Tbk.,16 Mei 2019,813.626.700,Pengembangan
366,JAWA,Jaya Agra Wattie Tbk.,30 Mei 2011,3.774.685.500,Utama
367,JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,750.000.210,Pengembangan
368,JECC,Jembo Cable Company Tbk.,18 Nov 1992,151.200.000,PENGEMBANGAN
369,JGLE,Graha Andrasentra Propertindo,29 Jun 2016,22.581.909.405,Pengembangan
370,JIHD,Jakarta International Hotels &,29 Feb 1984,2.329.040.482,Pengembangan
371,JKON,Jaya Konstruksi Manggala Prata,04 Des 2007,16.308.519.860,Utama
372,JKSW,Jakarta Kyoei Steel Works Tbk.,06 Ags 1997,150.000.000,Pengembangan
373,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Des 2017,1.000.000.000,Pengembangan
374,JPFA,Japfa Comfeed Indonesia Tbk.,23 Okt 1989,11.726.575.201,Utama
375,JRPT,Jaya Real Property Tbk.,29 Jun 1994,13.750.000.000,Utama
376,JSKY,Sky Energy Indonesia Tbk.,28 Mar 2018,2.032.540.000,Utama
377,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,7.257.871.200,Utama
378,JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,2.318.736.000,Pengembangan
379,JTPE,Jasuindo Tiga Perkasa Tbk.,16 Apr 2002,1.713.012.500,Pengembangan
380,KAEF,Kimia Farma Tbk.,04 Jul 2001,5.554.000.000,Utama
381,KARW,ICTSI Jasa Prima Tbk.,20 Des 1994,587.152.700,Pengembangan
382,KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,665.000.000,Pengembangan
383,KBAG,Karya Bersama Anugerah Tbk.,08 Apr 2020,7.150.001.509,Pengembangan
384,KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,4.007.235.107,Utama
385,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,1.120.000.000,PENGEMBANGAN
386,KBLV,First Media Tbk.,25 Feb 2000,1.742.167.907,Pengembangan
387,KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,8.687.995.734,Pengembangan
388,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,405.000.000,Pengembangan
389,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,3.666.312.500,Utama
390,KEJU,Mulia Boga Raya Tbk.,25 Nov 2019,1.500.000.000,Pengembangan
391,KIAS,Keramika Indonesia Assosiasi T,08 Des 1994,14.929.100.000,Pengembangan
392,KICI,Kedaung Indah Can Tbk,28 Okt 1993,276.000.000,UTAMA
393,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,20.824.888.369,Utama
394,KINO,Kino Indonesia Tbk.,11 Des 2015,1.428.571.500,Utama
395,KIOS,Kioson Komersial Indonesia Tbk,05 Okt 2017,717.239.900,Pengembangan
396,KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,500.000.000,Pengembangan
397,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,5.000.000.000,Utama
398,KLBF,Kalbe Farma Tbk.,30 Jul 1991,46.875.122.110,Utama
399,KMDS,Kurniamitra Duta Sentosa Tbk.,07 Sep 2020,800.000.000,Pengembangan
400,KMTR,Kirana Megatara Tbk.,19 Jun 2017,8.215.366.379,Pengembangan
401,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,2.272.500.000,Utama
402,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,980.843.732,PENGEMBANGAN
403,KONI,Perdana Bangun Pusaka Tbk,22 Ags 1995,312.000.000,Pengembangan
404,KOPI,Mitra Energi Persada Tbk.,04 Mei 2015,697.266.668,PENGEMBANGAN
405,KOTA,DMS Propertindo Tbk.,09 Jul 2019,10.546.185.701,UTAMA
406,KPAL,Steadfast Marine Tbk.,08 Jun 2018,1.069.009.400,UTAMA
407,KPAS,Cottonindo Ariesta Tbk.,05 Okt 2018,768.043.253,Pengembangan
408,KPIG,MNC Land Tbk.,30 Mar 2000,80.625.726.664,Pengembangan
409,KRAH,Grand Kartech Tbk.,08 Nov 2013,971.190.000,Pengembangan
410,KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,19.346.396.900,Utama
411,KREN,Kresna Graha Investama Tbk.,28 Jun 2002,18.208.470.100,Utama
412,KUAS,Ace Oldfields Tbk.,25 Okt 2021,1.292.570.540,Pengembangan
413,LABA,Ladangbaja Murni Tbk.,10 Jun 2021,1.000.118.550,Pengembangan
414,LAND,Trimitra Propertindo Tbk.,23 Ags 2018,2.792.620.000,Pengembangan
415,LAPD,Leyand International Tbk.,17 Jul 2001,3.966.350.139,Pengembangan
416,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,5.630.000.914,Pengembangan
417,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,1.000.000.000,Pengembangan
418,LEAD,Logindo Samudramakmur Tbk.,11 Des 2013,4.049.616.328,UTAMA
419,LFLO,Imago Mulia Persada Tbk.,07 Apr 2021,1.303.338.812,AKSELERASI
420,LIFE,Asuransi Jiwa Sinarmas MSIG Tb,09 Jul 2019,2.100.000.000,Utama
421,LINK,Link Net Tbk.,02 Jun 2014,2.863.195.484,Utama
422,LION,Lion Metal Works Tbk.,20 Ags 1993,520.160.000,Utama
423,LMAS,Limas Indonesia Makmur Tbk,28 Des 2001,787.851.525,Pengembangan
424,LMPI,Langgeng Makmur Industri Tbk.,17 Okt 1994,1.008.517.669,PENGEMBANGAN
425,LMSH,Lionmesh Prima Tbk.,04 Jun 1990,96.000.000,Pengembangan
426,LPCK,Lippo Cikarang Tbk,24 Jul 1997,2.679.600.000,Utama
427,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,150.000.000,UTAMA
428,LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,425.000.000,Pengembangan
429,LPKR,Lippo Karawaci Tbk.,28 Jun 1996,70.898.018.369,Utama
430,LPLI,Star Pacific Tbk,23 Okt 1989,1.170.432.803,Pengembangan
431,LPPF,Matahari Department Store Tbk.,09 Okt 1989,2.626.148.780,Utama
432,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,2.588.250.000,Pengembangan
433,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,350.000.022,Pengembangan
434,LSIP,PP London Sumatra Indonesia Tb,05 Jul 1996,6.822.863.965,Utama
435,LTLS,Lautan Luas Tbk.,21 Jul 1997,1.560.000.000,Utama
436,LUCK,Sentral Mitra Informatika Tbk.,28 Nov 2018,715.749.640,Pengembangan
437,LUCY,Lima Dua Lima Tiga Tbk.,05 Mei 2021,1.035.000.000,Akselerasi
438,MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,15.365.229.912,PENGEMBANGAN
439,MAGP,Multi Agro Gemilang Plantation,16 Jan 2013,9.000.000.004,Pengembangan
440,MAIN,Malindo Feedmill Tbk.,10 Feb 2006,2.238.750.000,Utama
441,MAMI,Mas Murni Indonesia Tbk,09 Feb 1994,12.299.117.590,Utama
442,MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,2.850.400.000,Pengembangan
443,MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,2.170.922.900,PENGEMBANGAN
444,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,16.600.000.000,Utama
445,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,5.252.644.000,Pengembangan
446,MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,3.800.000.310,Utama
447,MASA,Multistrada Arah Sarana Tbk.,09 Jun 2005,9.182.946.945,Utama
448,MASB,Bank Multiarta Sentosa Tbk.,30 Jun 2021,1.226.909.470,Pengembangan
449,MAYA,Bank Mayapada Internasional Tb,29 Ags 1997,11.714.045.161,Utama
450,MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,1.227.271.952,Pengembangan
451,MBSS,Mitrabahtera Segara Sejati Tbk,06 Apr 2011,1.750.026.639,Utama
452,MBTO,Martina Berto Tbk.,13 Jan 2011,1.070.000.000,Utama
453,MCAS,M Cash Integrasi Tbk.,01 Nov 2017,867.933.300,Pengembangan
454,MCOL,Prima Andalan Mandiri Tbk.,07 Sep 2021,3.555.560.000,Utama
455,MCOR,Bank China Construction Bank I,03 Jul 2007,37.540.533.209,Utama
456,MDIA,Intermedia Capital Tbk.,11 Apr 2014,39.215.538.400,UTAMA
457,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,22.904.850.815,Pengembangan
458,MDKI,Emdeki Utama Tbk.,25 Sep 2017,2.530.150.002,Utama
459,MDLN,Modernland Realty Tbk.,18 Jan 1993,12.533.067.322,Utama
460,MDRN,Modern Internasional Tbk.,16 Jul 1991,7.632.167.798,Utama
461,MEDC,Medco Energi Internasional Tbk,12 Okt 1994,25.136.231.252,Utama
462,MEGA,Bank Mega Tbk.,17 Apr 2000,11.623.514.905,Utama
463,MERK,Merck Tbk.,23 Jul 1981,448.000.000,PENGEMBANGAN
464,META,Nusantara Infrastructure Tbk.,18 Jul 2001,17.710.708.194,Utama
465,MFIN,Mandala Multifinance Tbk.,06 Sep 2005,2.650.000.000,Pengembangan
466,MFMI,Multifiling Mitra Indonesia Tb,29 Des 2010,757.581.000,Pengembangan
467,MGLV,Panca Anugrah Wisesa Tbk.,08 Jun 2021,1.904.207.270,Akselerasi
468,MGNA,Magna Investama Mandiri Tbk.,08 Jul 2014,1.003.080.977,Pengembangan
469,MGRO,Mahkota Group Tbk.,12 Jul 2018,3.554.445.700,Utama
470,MICE,Multi Indocitra Tbk.,21 Des 2005,600.000.000,PENGEMBANGAN
471,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,2.882.353.000,PENGEMBANGAN
472,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,14.246.349.500,Utama
473,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,6.562.500.000,Pengembangan
474,MIRA,Mitra International Resources,30 Jan 1997,3.961.452.039,Pengembangan
475,MITI,Mitra Investindo Tbk.,16 Jul 1997,2.442.988.366,Pengembangan
476,MKNT,Mitra Komunikasi Nusantara Tbk,26 Okt 2015,5.500.000.000,Pengembangan
477,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,948.194.000,PENGEMBANGAN
478,MLBI,Multi Bintang Indonesia Tbk.,15 Des 1981,2.107.000.000,Utama
479,MLIA,Mulia Industrindo Tbk,17 Jan 1994,1.323.000.000,PENGEMBANGAN
480,MLPL,Multipolar Tbk.,06 Nov 1989,15.403.833.101,Utama
481,MLPT,Multipolar Technology Tbk.,08 Jul 2013,1.875.000.000,Utama
482,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,6.889.134.608,Pengembangan
483,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,15.049.787.710,Utama
484,MOLI,Madusari Murni Indah Tbk.,30 Ags 2018,2.724.036.581,Pengembangan
485,MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,4.462.963.276,Utama
486,MPOW,Megapower Makmur Tbk.,05 Jul 2017,816.997.053,Pengembangan
487,MPPA,Matahari Putra Prima Tbk.,21 Des 1992,8.477.734.948,Utama
488,MPRO,Maha Properti Indonesia Tbk.,09 Okt 2018,9.942.500.000,Pengembangan
489,MRAT,Mustika Ratu Tbk.,27 Jul 1995,428.000.000,Utama
490,MREI,Maskapai Reasuransi Indonesia,04 Sep 1989,517.791.681,Pengembangan
491,MSIN,MNC Digital Entertainment Tbk.,08 Jun 2018,11.444.400.000,Utama
492,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,1.994.370.480,Utama
493,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,12.276.884.585,Utama
494,MTEL,Dayamitra Telekomunikasi Tbk.,22 Nov 2021,83.515.452.844,Utama
495,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,31.842.082.852,Pengembangan
496,MTLA,Metropolitan Land Tbk.,20 Jun 2011,7.655.126.330,UTAMA
497,MTPS,Meta Epsi Tbk.,10 Apr 2019,2.084.850.829,PENGEMBANGAN
498,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,770.000.000,Pengembangan
499,MTSM,Metro Realty Tbk.,08 Jan 1992,232.848.000,Pengembangan
500,MTWI,Malacca Trust Wuwungan Insuran,12 Okt 2017,1.525.819.116,Pengembangan
501,MYOH,Samindo Resources Tbk.,27 Jul 2000,2.206.312.500,Utama
502,MYOR,Mayora Indah Tbk.,04 Jul 1990,22.358.699.725,Utama
503,MYRX,Hanson International Tbk.,31 Okt 1990,86.703.220.792,Pengembangan
504,MYTX,Asia Pacific Investama Tbk.,10 Okt 1989,7.747.281.949,UTAMA
505,NANO,Nanotech Indonesia Global Tbk.,10 Mar 2022,4.285.000.000,Akselerasi
506,NASA,Andalan Perkasa Abadi Tbk.,07 Ags 2017,11.004.929.322,Pengembangan
507,NASI,Wahana Inti Makmur Tbk.,13 Des 2021,807.400.000,Pengembangan
508,NATO,Surya Permata Andalan Tbk.,18 Jan 2019,8.001.111.504,Pengembangan
509,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2.350.000.000,Pengembangan
510,NETV,Net Visi Media Tbk.,26 Jan 2022,23.453.177.240,Pengembangan
511,NFCX,NFC Indonesia Tbk.,12 Jul 2018,666.667.500,Pengembangan
512,NICK,Charnic Capital Tbk.,02 Mei 2018,651.150.000,PENGEMBANGAN
513,NICL,PAM Mineral Tbk.,09 Jul 2021,9.662.503.494,Pengembangan
514,NIKL,Pelat Timah Nusantara Tbk.,14 Des 2009,2.523.350.000,UTAMA
515,NIPS,Nipress Tbk.,24 Jul 1991,1.635.333.332,Pengembangan
516,NIRO,City Retail Developments Tbk.,13 Sep 2012,22.198.871.804,Pengembangan
517,NISP,Bank OCBC NISP Tbk.,20 Okt 1994,22.715.776.032,Utama
518,NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,4.556.256.627,Utama
519,NPGF,Nusa Palapa Gemilang Tbk.,14 Apr 2021,3.240.235.840,Utama
520,NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,2.496.258.344,UTAMA
521,NTBK,Nusatama Berkah Tbk.,09 Feb 2022,2.700.000.000,Pengembangan
522,NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,7.700.000.148,Pengembangan
523,NZIA,Nusantara Almazia Tbk.,25 Sep 2019,2.197.540.705,UTAMA
524,OASA,Protech Mitra Perkasa Tbk.,18 Jul 2016,358.600.000,Pengembangan
525,OBMD,OBM Drilchem Tbk.,08 Des 2021,732.000.000,Pengembangan
526,OCAP,Onix Capital Tbk.,10 Okt 2003,273.200.000,Pengembangan
527,OILS,Indo Oil Perkasa Tbk.,06 Sep 2021,454.000.943,Pengembangan
528,OKAS,Ancora Indonesia Resources Tbk,29 Mar 2006,1.765.927.777,Pengembangan
529,OMRE,Indonesia Prima Property Tbk,22 Ags 1994,1.745.000.000,Pengembangan
530,OPMS,Optima Prima Metal Sinergi Tbk,23 Sep 2019,1.000.000.000,PENGEMBANGAN
531,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,11.307.246.524,Utama
532,PALM,Provident Agro Tbk.,08 Okt 2012,7.119.540.356,Pengembangan
533,PAMG,Bima Sakti Pertiwi Tbk.,05 Jul 2019,3.125.000.000,Utama
534,PANI,Pratama Abadi Nusa Industri Tb,18 Sep 2018,410.000.000,Pengembangan
535,PANR,Panorama Sentrawisata Tbk.,18 Sep 2001,1.200.000.000,Utama
536,PANS,Panin Sekuritas Tbk.,31 Mei 2000,720.000.000,Utama
537,PBID,Panca Budi Idaman Tbk.,13 Des 2017,1.875.000.000,Utama
538,PBRX,Pan Brothers Tbk.,16 Ags 1990,6.478.295.611,Utama
539,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,1.500.000.000,Utama
540,PCAR,Prima Cakrawala Abadi Tbk.,29 Des 2017,1.166.666.700,Pengembangan
541,PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,715.000.000,Pengembangan
542,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,2.833.417.056,Pengembangan
543,PEHA,Phapros Tbk.,26 Des 2018,840.000.000,Utama
544,PGAS,Perusahaan Gas Negara Tbk.,15 Des 2003,24.241.508.196,Utama
545,PGJO,Tourindo Guide Indonesia Tbk.,08 Jan 2020,759.859.095,Akselerasi
546,PGLI,Pembangunan Graha Lestari Inda,05 Apr 2000,488.000.000,PENGEMBANGAN
547,PGUN,Pradiksi Gunatama Tbk.,07 Jul 2020,4.998.360.000,Utama
548,PICO,Pelangi Indah Canindo Tbk,23 Sep 1996,568.375.000,Pengembangan
549,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,1.599.999.996,Utama
550,PKPK,Perdana Karya Perkasa Tbk,11 Jul 2007,600.000.000,Pengembangan
551,PLAN,Planet Properindo Jaya Tbk.,15 Sep 2020,892.863.102,Akselerasi
552,PLAS,Polaris Investama Tbk,16 Mar 2001,1.184.200.000,PENGEMBANGAN
553,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,3.550.000.000,Utama
554,PMJS,Putra Mandiri Jembar Tbk.,18 Des 2019,13.755.600.000,Pengembangan
555,PMMP,Panca Mitra Multiperdana Tbk.,18 Des 2020,2.353.000.000,Utama
556,PNBN,Bank Pan Indonesia Tbk,29 Des 1982,23.837.645.998,Utama
557,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,38.425.504.906,Utama
558,PNGO,Pinago Utama Tbk.,31 Ags 2020,781.250.000,Pengembangan
559,PNIN,Paninvest Tbk.,20 Sep 1983,4.068.323.920,Utama
560,PNLF,Panin Financial Tbk.,14 Jun 1983,32.022.073.293,UTAMA
561,PNSE,Pudjiadi & Sons Tbk.,01 Mei 1990,797.813.496,Pengembangan
562,POLA,Pool Advista Finance Tbk.,16 Nov 2018,2.729.385.000,Pengembangan
563,POLI,Pollux Hotels Group Tbk.,10 Jan 2019,2.010.526.400,Pengembangan
564,POLL,Pollux Properties Indonesia Tb,11 Jul 2018,8.318.823.600,Utama
565,POLU,Golden Flower Tbk.,26 Jun 2019,750.000.000,Pengembangan
566,POLY,Asia Pacific Fibers Tbk,12 Mar 1991,2.495.753.334,Pengembangan
567,POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2.341.366.264,Pengembangan
568,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,2.813.941.985,Pengembangan
569,POSA,Bliss Properti Indonesia Tbk.,10 Mei 2019,8.388.870.206,Pengembangan
570,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,16.087.156.000,Pengembangan
571,PPGL,Prima Globalindo Logistik Tbk.,20 Jul 2020,750.021.344,Akselerasi
572,PPRE,PP Presisi Tbk.,24 Nov 2017,10.224.271.000,Utama
573,PPRO,PP Properti Tbk.,19 Mei 2015,61.675.671.883,Utama
574,PRAS,Prima Alloy Steel Universal Tb,12 Jul 1990,701.043.478,Utama
575,PRDA,Prodia Widyahusada Tbk.,07 Des 2016,937.500.000,Utama
576,PRIM,Royal Prima Tbk.,15 Mei 2018,3.393.434.905,Pengembangan
577,PSAB,J Resources Asia Pasifik Tbk.,22 Apr 2003,26.460.000.000,Pengembangan
578,PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994,1.440.000.000,PENGEMBANGAN
579,PSGO,Palma Serasih Tbk.,25 Nov 2019,18.850.000.000,PENGEMBANGAN
580,PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,10.351.231.636,Pengembangan
581,PSSI,Pelita Samudera Shipping Tbk.,05 Des 2017,5.417.063.153,Utama
582,PTBA,Bukit Asam Tbk.,23 Des 2002,11.520.659.250,Utama
583,PTDU,Djasa Ubersakti Tbk.,08 Des 2020,1.500.000.000,Pengembangan
584,PTIS,Indo Straits Tbk.,12 Jul 2011,550.165.300,Utama
585,PTPP,PP (Persero) Tbk.,09 Feb 2010,6.199.897.354,Utama
586,PTPW,Pratama Widya Tbk.,07 Feb 2020,878.187.500,Pengembangan
587,PTRO,Petrosea Tbk.,21 Mei 1990,1.008.605.000,Utama
588,PTSN,Sat Nusapersada Tbk,08 Nov 2007,5.314.344.000,Utama
589,PTSP,Pioneerindo Gourmet Internatio,30 Mei 1994,220.808.000,PENGEMBANGAN
590,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,329.560.000,UTAMA
591,PURA,Putra Rajawali Kencana Tbk.,22 Jan 2020,5.941.264.082,Pengembangan
592,PURE,Trinitan Metals and Minerals T,09 Okt 2019,1.375.181.505,Utama
593,PURI,Puri Global Sukses Tbk.,08 Sep 2020,1.000.000.000,Pengembangan
594,PWON,Pakuwon Jati Tbk.,09 Okt 1989,48.159.602.400,UTAMA
595,PYFA,Pyridam Farma Tbk,16 Okt 2001,535.080.000,Pengembangan
596,PZZA,Sarimelati Kencana Tbk.,23 Mei 2018,3.021.875.000,Utama
597,RAJA,Rukun Raharja Tbk.,19 Apr 2006,4.227.082.500,Utama
598,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,7.096.000.000,Utama
599,RANC,Supra Boga Lestari Tbk.,07 Jun 2012,1.564.487.500,Utama
600,RBMS,Ristia Bintang Mahkotasejati T,19 Des 1997,2.656.212.826,Utama
601,RDTX,Roda Vivatex Tbk,14 Mei 1990,268.800.000,Utama
602,REAL,Repower Asia Indonesia Tbk.,06 Des 2019,6.633.610.151,Pengembangan
603,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,1.800.000.000,Utama
604,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,641.717.510,UTAMA
605,RIGS,Rig Tenders Indonesia Tbk.,05 Mar 1990,609.130.000,Pengembangan
606,RIMO,Rimo International Lestari Tbk,10 Nov 2000,45.080.600.000,Pengembangan
607,RISE,Jaya Sukses Makmur Sentosa Tbk,09 Jul 2018,10.945.000.000,Pengembangan
608,RMBA,Bentoel Internasional Investam,05 Mar 1990,36.401.136.250,Utama
609,RMKE,RMK Energy Tbk.,07 Des 2021,4.375.000.000,Utama
610,ROCK,Rockfields Properti Indonesia,10 Sep 2020,1.435.185.100,Pengembangan
611,RODA,Pikko Land Development Tbk.,22 Okt 2001,13.592.128.209,Pengembangan
612,RONY,Aesler Grup Internasional Tbk.,09 Apr 2020,1.250.000.000,Pengembangan
613,ROTI,Nippon Indosari Corpindo Tbk.,28 Jun 2010,6.186.488.888,Utama
614,RSGK,Kedoya Adyaraya Tbk.,08 Sep 2021,929.675.000,Utama
615,RUIS,Radiant Utama Interinsco Tbk.,12 Jul 2006,770.000.000,Pengembangan
616,RUNS,Global Sukses Solusi Tbk.,08 Sep 2021,983.557.875,Akselerasi
